Words;Link
BLANTYRE;1 068 000
BLOEMFONTEIN;556 000
BOGOTA;7 412 566
BOLIVIE;12 388 571
BOLOGNE;390 275
BOMBAY;20 968 000
BORDEAUX;263 194
BOSTON;675 647
BOTSWANA;2 602 000
BOURGAS;206 699
BRASILIA;3 094 325
BRATISLAVA;475 503
BRAZZAVILLE;2 388 000
BREME;570 217
BRESCIA;196 745
BRINDISI;84 649
BRISBANE;2 582 090
BRISTOL;472 087
BRNO;382 405
BRUGES;118 653
BRUNEI;460 345
BRUXELLES;1 211 406
BRESIL;203 080 756
BUCAREST;1 748 967
BUDAPEST;1 706 851
BUFFALO;276 807
BUJUMBURA;1 144 000
BUKAVU;1 133 000
BULAWAYO;680 000
BULGARIE;6 447 710
BURSA;3 194 720
BURUNDI;13 238 559
BUSAN;3 372 964
BENIN;13 712 828
CADIX;116 027
CAEN;105 354
CAGLIARI;148 052
CAIRE;10 145 000
CALGARY;1 336 000
CALI;2 227 642
CALVI;5 776
CAMAGUEY;347 562
CAMBODGE;17 218 682
CAMEROUN;28 647 293
CANADA;40 769 890
CANBERRA;467 000
CANCUN;931 870
CANNES;74 285
CANTON;18 676 605
CARACAS;2 900 000
CARDIFF;362 756
CARRARE;63 017
CARTHAGENE;1 060 415
CASABLANCA;3 752 000
CASPIENNE;N/A (mer)
CATANE;305 071
CAYENNE;64 358
CEBU;964 169
CENTRAFRIQUE;5 579 144
CHENGDU;20 937 757
CHENNAI;7 088 000
CHICAGO;2 696 555
CHILI;19 629 590
CHINE;1 412 175 000
CHISINAU;492 682
CHITTAGONG;5 104 000
CHONGQING;32 121 000
CHRISTCHURCH;404 500
CHYPRE;1 260 138
CINCINNATI;309 317
CLEVELAND;362 656
CLUJ;286 163
COIMBRA;143 396
COLOGNE;1 084 225
COLOMBIE;52 215 503
COLOMBO;752 993
COMORES;836 774
CONAKRY;1 843 000
CONGO;5 835 806
CONSTANCE;85 224
CONSTANTINE;448 374
COOK;17 564
COPENHAGUE;794 128
CORDOBA;1 391 000
CORDOUE;321 936
CORK;222 333
CORSE;344 679
COTONOU;1 200 000
CRACOVIE;795 374
CROATIE;3 871 833
CUBA;11 089 511
CUIABA;650 218
CURITIBA;1 948 626
CUZCO;428 450
DAKAR;3 729 976
DALLAS;1 304 379
DAMAS;2 392 000
DAMMAM;1 054 325
DANANG;1 254 800
DANEMARK;5 932 654
DARWIN;153 000
DEAUVILLE;3 752
DEBRECEN;200 966
DELHI;33 807 000
DENPASAR;936 558
DENVER;715 522
DHAKA;22 478 000
DHARAN;190 024
DIJON;157 357
DJEDDAH;4 780 740
DJIBOUTI;1 016 097
DNIPRO;980 000
DOHA;2 382 000
DOMINIQUE;72 412
DONETSK;900 000
DORTMUND;592 393
DOUALA;3 300 000
DRESDE;556 780
DUBAI;3 604 803
DUBLIN;1 228 000
DUBROVNIK;41 562
DURBAN;3 720 000
DUSSELDORF;646 488
DETROIT;632 464
EDIMBOURG;524 930
EDMONTON;1 010 899
EGYPTE;106 437 241
EINDHOVEN;244 767
ENTEBBE;69 958
ERBIL;1 800 000
EREVAN;1 096 000
ERYTHREE;3 748 901
ESPAGNE;48 592 909
ESSEN;580 074
ESTONIE;1 365 884
ESWATINI;1 202 000
FARO;58 638
FEZ;1 200 000
FIDJI;930 000
FIGARI;1 418
FINLANDE;5 563 970
FLANDRE;6 700 000
FLORENCE;358 079
FORTALEZA;2 703 391
FRANCE;68 521 000
FRANCFORT;773 068
FREETOWN;1 055 964
FUKUOKA;1 612 392
FUNCHAL;111 892
GABON;2 388 992
GABORONE;231 592
GAMBIE;2 705 992
GAND;264 622
GENEVE;201 818
GEORGETOWN;235 017
GEORGIE;3 744 000
GHANA;33 475 870
GIBRALTAR;32 884
GLASGOW;635 640
GOIANIA;1 556 700
GOMA;670 000
GOTEBORG;590 580
GRAZ;291 072
GRECE;10 413 000
GRENADE;231 755
GRENOBLE;159 268
GROENLAND;56 421
GUADALAJARA;1 495 182
GUADELOUPE;395 700
GUAM;153 836
GUANGZHOU;18 676 605
GUATEMALA;17 980 803
GUAYAQUIL;2 723 665
GUERNESEY;63 748
GUINEE;13 531 906
GUIYANG;5 987 018
GUYANA;797 202
GUYANE;306 000
GWANGJU;1 441 084
GENES;567 607
HAIPHONG;2 028 514
HAITI;11 724 764
HAKODATE;238 012
HALIFAX;465 703
HAMBOURG;1 892 122
HAMILTON;178 500
HANGZHOU;12 200 000
HANOI;8 435 700
HANOVRE;538 068
HARBIN;10 635 971
HELSINKI;656 920
HERAKLION;173 993
HERMOSILLO;936 263
HIROSHIMA;1 200 754
HOBART;242 000
HOLGUIN;346 195
HOMS;775 404
HONDURAS;10 593 798
HONGKONG;7 333 200
HONGRIE;9 710 415
HONIARA;92 344
HONOLULU;342 475
HOUSTON;2 304 580
HULL;260 239
HURGHADA;248 000
HYDERABAD;10 534 000
IASI;290 422
IBIZA;50 905
INDE;1 428 627 663
INDONESIE;277 534 122
INNSBRUCK;136 097
IQUIQUE;211 754
IQUITOS;506 193
IRAK;43 533 592
IRAN;89 172 767
IRKOUTSK;617 440
IRLANDE;5 194 336
ISLAMABAD;1 095 064
ISLANDE;376 248
ISPAHAN;2 248 591
ISRAEL;9 841 700
ITALIE;59 030 133
IZMIR;4 425 789
JACKSON;152 958
JACKSONVILLE;949 611
JAKARTA;10 679 951
JAMAIQUE;2 825 544
JAMBA;100 000
JAMSHEDPUR;629 659
JAPON;124 352 000
JERSEY;103 267
JERUSALEM;980 000
JODHPUR;1 033 918
JOHANNESBURG;5 635 127
JOINVILLE;616 527
JORDANIE;10 428 241
JOUKOVSKI;108 692
JUBA;525 953
JUJUY;365 135
KABOUL;4 601 789
KAGOSHIMA;592 095
KALININGRAD;493 486
KAOHSIUNG;2 752 474
KARACHI;14 916 456
KARAGANDA;499 657
KARLSRUHE;313 092
KASSEL;204 877
KATMANDOU;1 442 271
KAUNAS;284 234
KAWASAKI;1 539 081
KAZAKHSTAN;19 606 633
KAZAN;1 308 660
KENYA;54 027 487
KERKYRA;32 095
KHABAROVSK;610 305
KHARKIV;1 433 886
KHARTOUM;6 160 000
KHERSON;283 649
KIEV;2 952 301
KIGALI;1 132 686
KINGSTON;937 700
KINSHASA;17 071 000
KIRGHIZISTAN;6 700 000
KIRIBATI;119 940
KIRUNA;18 148
KITCHENER;270 349
KOBE;1 528 478
KOCHI;677 381
KOH SAMUI;63 000
KONYA;2 277 017
KOSICE;228 249
KOSOVO;1 782 115
KOWEIT;4 310 108
KRASNODAR;1 095 331
KRASNOIARSK;1 100 000
KUMAMOTO;737 780
KUNMING;8 460 000
KYOTO;1 468 019
LAGOS;15 946 000
LAHORE;13 541 764
LAOS;7 575 556
LARNACA;84 591
LEEDS;812 036
LEIPZIG;620 523
LESOTHO;2 227 548
LETTONIE;1 830 211
LIBAN;5 489 739
LIBERIA;5 418 377
LIBREVILLE;813 000
LIBYE;7 381 024
LIECHTENSTEIN;39 327
LILLE;236 234
LILONGWE;1 077 116
LIMA;10 719 188
LIMOGES;131 656
LINZ;213 557
LISBONNE;564 657
LITUANIE;2 862 380
LIVERPOOL;486 100
LIEGE;198 280
LJUBLJANA;297 196
LOME;1 524 000
LONDRES;8 866 180
LOURDES;14 071
LOUXOR;506 588
LUANDA;9 292 000
LUBUMBASHI;2 591 000
LUCERNE;82 623
LUGANO;62 315
LUND;94 591
LUSAKA;3 360 000
LUXEMBOURG;660 809
LVIV;717 803
LYON;522 228
MAASTRICHT;122 488
MACAO;693 560
MACEIO;1 025 360
MACEDOINE;1 836 713
MADAGASCAR;28 915 653
MADANG;27 419
MADISON;269 840
MADRID;3 305 408
MADURAI;1 544 000
MADERE;251 060
MAHE;93 000
MAJURO;28 000
MALABO;297 000
MALAGA;578 460
MALAISIE;33 705 697
MALAWI;20 405 317
MALDIVES;521 021
MALI;22 414 995
MALMO;356 026
MALTE;519 562
MANAGUA;1 055 000
MANAUS;2 255 903
MANCHESTER;553 230
MANILLE;1 846 513
MANNHEIM;309 370
MAPUTO;1 305 000
MARACAIBO;1 563 606
MARACAY;1 103 453
MAROC;37 840 044
MARRAKECH;928 850
MARSEILLE;873 078
MARTINIQUE;349 925
MASCATE;1 590 000
MASHHAD;3 776 000
MATADI;345 000
MATSUYAMA;504 796
MAUN;60 264
MAURICE;1 261 041
MAURITANIE;4 614 974
MAYOTTE;321 002
MEDAN;2 469 291
MEDELLIN;2 700 499
MELBOURNE;5 078 193
MEMPHIS;633 104
MENDOZA;1 108 416
MESSINE;221 613
METZ;117 432
MEXICO;9 209 944
MEXIQUE;130 861 007
MIAMI;449 514
MICRONESIE;115 023
MILAN;1 371 498
MILWAUKEE;577 222
MINSK;2 009 786
MISRATA;386 000
MOBILE;187 041
MODENE;187 161
MOLDAVIE;2 657 637
MOMBASA;1 208 333
MONACO;36 297
MONASTIR;71 546
MONCTON;144 810
MONGOLIE;3 447 157
MONROVIA;1 021 762
MONTENEGRO;633 158
MONTEVIDEO;1 319 108
MONTPELLIER;299 497
MONTREAL;2 097 090
MONTSERRAT;4 389
MOSCOU;12 952 445
MOSSOUL;1 683 000
MOULINS;18 556
MOURMANSK;282 000
MOZAMBIQUE;32 790 338
MULTAN;2 043 520
MUMBAI;20 968 000
MUNSTER;316 403
MYANMAR;54 577 997
MYKONOS;11 517
MALE;128 451
MEDINE;2 188 134
MERIDA;1 000 000
NAGASAKI;406 076
NAGOYA;2 333 406
NAIROBI;4 397 073
NAJAF;1 200 000
NAMIBIE;2 604 172
NANCY;104 931
NANTES;320 732
NAPLES;909 048
NARITA;131 753
NASHVILLE;689 447
NASSAU;280 000
NATAL;890 480
NAURU;10 846
NDJAMENA;1 626 000
NEIVA;361 136
NELSON;53 500
NEPAL;30 034 989
NEWARK;307 220
NEWCASTLE;300 196
NIAMEY;1 323 000
NICARAGUA;6 948 392
NICE;342 295
NICOSIE;269 813
NIGER;26 207 977
NIGERIA;223 804 632
NIIGATA;780 000
NIMES;148 591
NINGBO;9 403 521
NIUE;1 549
NORVEGE;5 488 984
NORWICH;215 700
NOTTINGHAM;329 200
NOUAKCHOTT;1 432 000
NOUMEA;94 285
NUREMBERG;521 508
ODESSA;1 015 826
OKAYAMA;722 561
OKINAWA;325 000
OLBIA;60 027
OMAHA;486 051
OMAN;4 644 384
OMDURMAN;2 802 000
OMSK;1 139 897
ORAN;803 329
ORLANDO;320 742
OSAKA;2 754 700
OSLO;717 710
OSTENDE;73 042
OSTRAVA;281 242
OTTAWA;1 017 449
OUGANDA;48 582 334
OUJDA;494 252
OULAN-BATOR;1 631 800
OUZBEKISTAN;37 193 000
OVIEDO;218 590
PADOUE;210 339
PAKISTAN;231 402 117
PALAOS;18 024
PALERME;622 681
PALESTINE;5 483 450
PALMA;416 065
PANAMA;4 351 267
PAPEETE;26 926
PARAGUAY;7 356 409
PARAMARIBO;240 924
PARIS;2 102 650
PARME;198 292
PATRAS;213 984
PAU;82 398
PENANG;1 766 522
PEREIRA;476 660
PERM;1 052 961
PEROU;33 359 418
PEROUSE;166 676
PERTH;2 192 229
PESCARA;116 887
PESHAWAR;2 296 800
PHILIPPINES;117 337 368
PHOENIX;1 608 139
PHUKET;419 000
PISE;87 815
PITTSBURGH;302 971
PLYMOUTH;266 700
PODGORICA;177 017
POITIERS;91 601
POLOGNE;38 036 118
PORTLAND;652 503
PORTO;231 800
PORTSMOUTH;205 400
PORTUGAL;10 247 605
POSADAS;322 318
POZNAN;550 742
PRAGUE;1 335 084
PRETORIA;2 921 488
PRISTINA;211 296
PROVIDENCE;189 990
PUEBLA;1 692 181
PULA;55 748
PUNE;6 629 000
PUSAN;3 372 964
PYONGYANG;3 084 000
PEKIN;21 893 095
QATAR;2 716 391
QUEBEC;549 459
QUERETARO;1 049 770
QUIMPER;63 049
QUITO;2 011 388
RABAT;1 655 753
RALEIGH;476 234
RANGOUN;5 600 000
READING;174 224
RECIFE;1 488 920
REGGIO;165 000
REIMS;183 111
RENNES;224 121
REYKJAVIK;136 935
RHODES;56 128
RIO;6 211 223
RIGA;605 802
RIJEKA;107 964
RIMINI;150 479
RIMOUSKI;56 818
RIYAD;7 538 200
RODEZ;26 017
ROME;2 749 031
ROSARIO;1 276 000
ROSTOCK;209 191
ROTTERDAM;655 468
ROUEN;114 161
ROUMANIE;19 038 098
ROVANIEMI;65 229
RUSSIE;144 444 359
RWANDA;14 094 683
REUNION;884 500
SACRAMENTO;524 943
SALTA;618 375
SALTILLO;909 853
SALVADOR;2 886 698
SALZBOURG;155 021
SAMARA;1 144 759
SAMARCANDE;554 100
SAMOA;222 382
SANTANDER;172 221
SANTIAGO;7 112 808
SANTORIN;16 940
SANAA;3 937 000
SAPPORO;1 975 263
SARAJEVO;275 524
SARDAIGNE;1 599 511
SASKATOON;317 480
SAIGON;9 177 937
SEATTLE;749 256
SEGOVIE;54 368
SENDAI;1 098 407
SENEGAL;17 763 163
SEOUL;9 439 672
SERBIE;6 647 003
SEVILLE;685 071
SEYCHELLES;107 118
SHANGHAI;24 870 895
SHARJAH;1 684 649
SHEFFIELD;584 853
SHENYANG;9 070 093
SHENZHEN;17 560 061
SHIRAZ;1 919 405
SHIZUOKA;700 035
SIBIU;147 245
SICILE;4 837 930
SYDNEY;5 312 000
SIEGEN;100 560
SIENNE;53 877
SINGAPOUR;5 917 600
SKOPJE;526 502
SLOVAQUIE;5 474 013
SLOVENIE;2 116 792
SOFIA;1 236 047
SOMALIE;18 143 378
SOMALILAND;5 700 000
SOTCHI;411 781
SOUDAN;48 109 006
SOUTHAMPTON;253 651
SPLIT;161 312
STAVANGER;145 279
STOCKHOLM;975 551
STRASBOURG;284 677
STUTTGART;626 275
SUISSE;8 896 700
SURABAYA;2 874 699
SURINAME;618 040
SUVA;93 970
SUZHOU;12 748 262
SUEDE;10 551 707
SYLT;18 457
SYRACUSE;145 153
SYRIE;22 125 249
SZCZECIN;390 466
TABRIZ;1 773 033
TACHKENT;2 571 668
TADJIKISTAN;10 143 543
TAIF;750 000
TAIPEI;2 646 204
TALLINN;455 695
TAMPA;404 287
TAMPERE;241 109
TANGER;947 952
TANZANIE;65 497 748
TAIWAN;23 592 000
TBILISSI;1 154 683
TCHAD;18 278 568
TEGUCIGALPA;1 444 960
TEHERAN;9 250 989
TEL AVIV;4 343 584
TENERIFE;957 510
TERRA-NOVA;522 875
TETOUAN;400 000
THAILANDE;71 801 279
THESSALONIQUE;1 110 000
THIRA;16 940
TIANJIN;13 866 009
TIBET;3 648 100
TIFLIS;1 154 683
TIJUANA;1 922 523
TIMISOARA;250 597
TIRANA;421 286
TIVAT;14 031
TOGO;9 095 591
TOKELAU;1 499
TOKYO;13 960 000
TOLEDO;85 696
TOMSK;576 466
TONGA;100 209
TOOWOOMBA;140 000
TOPEKA;127 679
TORONTO;2 794 356
TORTOLA;30 261
TOULOUSE;498 003
TOURS;136 565
TRABZON;837 052
TRIESTE;204 338
TRIPOLI;1 165 865
TROMSO;77 979
TRONDHEIM;210 291
TRUJILLO;994 496
TUCSON;542 629
TUCUMAN;875 000
TULA;483 468
TULSA;411 867
TUNIS;1 056 247
TUNISIE;12 046 656
TURIN;847 287
TURKMENISTAN;6 340 000
TURKU;202 460
TURQUIE;85 372 377
TUVALU;11 792
TUXTLA;598 149
TYUMEN;849 312
UBE;160 092
UBERLANDIA;699 097
UDAIPUR;474 531
UFA;1 128 787
UKRAINE;43 531 422
UMEA;130 224
UPPSALA;233 839
URALSK;269 611
URUGUAY;3 423 108
URUMQI;4 054 369
USHUAIA;82 193
UTRECHT;368 980
VADUZ;5 696
VALENCE;814 208
VALLADOLID;302 082
VALPARAISO;296 655
VANCOUVER;662 248
VANUATU;320 000
VARADERO;38 000
VARNA;316 213
VARSOVIE;1 863 056
VATICAN;764
VENEZUELA;28 838 499
VENISE;247 342
VERACRUZ;895 193
VICTORIA;26 000
VIENNE;1 982 097
VIENTIANE;948 477
VIETNAM;98 186 000
VIGO;295 703
VILNIUS;592 389
VITORIA;249 176
VLADIVOSTOK;601 860
VOLGOGRAD;1 025 503
VORONEJ;1 058 261
VROTLAV;672 929
VERONE;259 608
WASHINGTON;678 972
WELLINGTON;215 000
WINDHOEK;431 000
WINNIPEG;749 607
WUHAN;13 648 700
WUXI;7 460 000
XIAMEN;5 163 970
XIAN;12 952 000
YAKUTSK;336 485
YAMOUSSOUKRO;361 923
YAOUNDE;3 500 000
YAREN;1 100
YAROSLAVL;603 961
YEKATERINBURG;1 544 376
YEMEN;34 449 825
YOKOHAMA;3 777 491
YORK;141 685
ZAGREB;767 131
ZAMBIE;20 569 737
ZANZIBAR;1 889 773
SARAGOSSE;674 317
ZIMBABWE;16 320 537
ZURICH;423 193
ECOSSE;5 436 600
EQUATEUR;18 001 000
ETHIOPIE;126 527 060
ISTANBUL;15 655 924
